SUBA,1,N
CMPA,2,N
LDAI,3,W
LDAD,4,W
LDAX,5,B
LDAF,6,B
STAD,7,W
STAX,8,B
STAF,9,B
JSR,10,W
RTS,11,N
LINK,12,B
UNLINK,13,N
BEQ,14,B
BLT,15,B
BLE,16,B
BRA,17,B
ADDA,18,N
CLRA,19,N
PUSHA,20,N
PUSHX,21,N   
POPA,22,N
POPX,23,N
INCA,24,N
DECA,25,N
INCX,26,N
DECX,27,N
NOP,0,N
SHRA,28,N
SHLA,29,N
HALT,30,N
